time,posx,posy,posz,vx,vy,vz,ax,ay,az
3.75,-303.5202733,-2017.689382,0.014634467,21.88703346,0.009003278,0.165833607,3.561776638,-0.001572188,0.021475242
3.8,-303.5010853,-2018.792696,0.013716361,22.25198174,0.004430589,0.156151488,7.29764986,-0.072583973,-0.010600387
3.85,-303.4818719,-2019.914622,0.014265311,22.60246277,0.005520865,0.172137588,7.010520935,0.085272633,0.19959563
3.9,-303.4620147,-2021.051262,0.014209587,22.86403656,0.008291159,0.16673921,5.231562614,0.079442956,-0.114559926
3.95,-303.4417484,-2022.201075,0.014311351,23.1234684,0.005639241,0.177919433,5.188766956,-0.063947544,0.206293941
4,-303.4213183,-2023.363117,0.014360883,23.34388542,0.008186489,0.173526332,4.408400536,0.014636507,-0.093340226
4.05,-303.4011,-2024.529913,0.015399816,23.32350731,0.0033535,0.188289702,-0.405327171,-0.067429505,0.008336779
4.1,-303.3810212,-2025.694554,0.014939003,23.26418114,0.001507963,0.184800133,-1.187112451,0.001360964,0.005044647
4.15,-303.3609308,-2026.856206,0.015452894,23.21229362,0.001372263,0.193192348,-1.037044644,0.030551227,0.087265968
4.2,-303.3408196,-2028.015305,0.015075493,23.15491486,-0.000115863,0.1812765,-1.148203731,0.000654394,-0.15909633
4.25,-303.3206993,-2029.171482,0.015331333,23.10144234,-0.000508785,0.189710736,-1.068864584,0.007433442,0.096598104
4.3,-303.3005766,-2030.325032,0.015133919,23.04523277,-0.000169823,0.184930086,-1.124732852,0.016675429,-0.030512245
4.35,-303.2804787,-2031.475761,0.015312623,22.99183464,-0.00092677,0.184966221,-1.067597866,-0.005395832,-0.047000028
4.4,-303.2604128,-2032.623801,0.015124478,22.93549919,-0.00107959,0.184946015,-1.126992226,-0.000566642,0.037035771
4.45,-303.2403767,-2033.769063,0.015307527,22.882267,-0.000618533,0.185421094,-1.064438105,0.008212973,-0.014777758
4.5,-303.2202659,-2034.912633,0.014894632,22.91781235,-0.001165601,0.178067118,0.710186481,-0.016001649,-0.056306366
4.55,-303.1998262,-2036.06433,0.014144413,23.15560913,0.004605805,0.174218729,4.754507065,0.044020701,0.111337364
4.6,-303.1792456,-2037.227588,0.01465561,23.32839775,0.007284777,0.179589599,3.456843615,0.004202043,-0.031536326
4.65,-303.1583094,-2038.40293,0.013112653,23.71343803,0.008036612,0.166069269,7.69834137,-0.069850564,0.074700758
4.7,-303.1375452,-2039.599917,0.014116881,24.14668655,0.006905807,0.18401517,8.666410446,-0.009931548,0.170804888
4.75,-303.1166502,-2040.816728,0.013544246,24.53580666,0.004918613,0.171478167,7.781578541,0.050181575,-0.131921321
4.8,-303.0953463,-2042.054588,0.01379883,24.9662056,0.000680714,0.186689988,8.608319283,0.033812951,0.259273827
4.85,-303.0734666,-2043.311878,0.013906539,25.31764412,0.00022013,0.182094544,7.028932571,0.064111955,-0.115537696
4.9,-303.0507021,-2044.585026,0.014121987,25.59239578,0.004712994,0.192641467,5.495578766,0.023665112,0.140435979
4.95,-303.0276756,-2045.870209,0.014208045,25.81838989,0.005063831,0.191899747,4.520142078,-0.088984758,-0.04316913
5,-303.0046817,-2047.166878,0.014182604,26.04835701,0.006252676,0.196714297,4.599312782,-0.069049969,0.104780868
5.05,-302.9816748,-2048.474778,0.014180824,26.27170181,0.009507352,0.195097432,4.466961384,-0.004244047,-0.041609216
5.1,-302.9586289,-2049.794062,0.014142558,26.49973106,0.009270413,0.200230539,4.560537338,-0.042360127,0.113777593
5.15,-302.9354993,-2051.124547,0.014159521,26.72306442,0.009944795,0.198677748,4.466731071,-0.01758296,-0.03714766
5.2,-302.9122448,-2052.466345,0.014103693,26.94976807,0.01137698,0.202604502,4.533992291,0.013734655,0.088186011
5.25,-302.888836,-2053.81933,0.014120818,27.17243576,0.011006597,0.202561334,4.453408718,-0.002402764,-0.006836006
5.3,-302.8652425,-2055.183562,0.014074403,27.39802933,0.010778757,0.205344662,4.5117836,-0.001133498,0.065916106
5.35,-302.8414402,-2056.558942,0.014077164,27.62021065,0.011855499,0.205747768,4.443665504,0.027458727,0.00258322
5.4,-302.8174241,-2057.94548,0.013915355,27.83952332,0.011562982,0.195867315,4.386111259,0.006775725,-0.178043559
5.45,-302.7936863,-2059.314954,0.013144123,28.06152534,0.011126079,0.20259212,4.530598164,-0.000912333,0.146860272
5.5,-302.7687849,-2060.751729,0.013780569,28.28435516,0.011593164,0.226100892,4.369800568,0.024474081,0.380333334
5.55,-302.7441072,-2062.17146,0.013501617,28.50737953,0.011622561,0.202279523,4.459552288,0.008850252,-0.353978217
5.6,-302.7192272,-2063.602297,0.013477354,28.72952271,0.011365536,0.214736015,4.443741798,0.000648957,0.127205327
5.65,-302.6944316,-2065.029558,0.013538522,28.90344429,0.01187376,0.225374326,3.513132572,0.017487235,0.274001777
5.7,-302.669216,-2066.481656,0.012522468,29.2345562,0.00968055,0.193046868,6.620379925,-0.0164351,-0.378124028
5.75,-302.6439669,-2067.955621,0.012796251,29.71128845,0.004345007,0.222134635,9.535392761,0.01641521,0.487134457
5.8,-302.6183164,-2069.45118,0.012946876,30.11379623,-0.000414376,0.21308881,8.050028801,0.085573383,-0.160685375
5.85,-302.5917693,-2070.983233,0.012789117,30.54434395,-0.003738324,0.216761097,8.525555611,0.106763944,0.093932107
5.9,-302.564624,-2072.500622,0.013718196,30.74787331,0.000997601,0.232892528,4.114276886,0.024218822,-0.021658033
5.95,-302.5368215,-2074.042043,0.013331563,30.91266441,0.006303924,0.234021068,3.294887781,-0.05252891,0.150164425
6,-302.5091437,-2075.591612,0.01376924,31.07613182,0.00735832,0.235945493,3.270198345,-0.110522091,-0.071883
6.05,-302.4816268,-2077.149529,0.013356708,31.24435234,0.009578826,0.232838854,3.363717318,-0.06881544,0.038816091
6.1,-302.4542174,-2078.715759,0.01365958,31.41021729,0.012160063,0.240020409,3.317975521,-0.007848622,0.05626319
6.15,-302.4268221,-2080.290376,0.01341337,31.57775497,0.011198672,0.235748664,3.350100756,-0.038285181,0.000732484
6.2,-302.3993846,-2081.873279,0.013570516,31.74343681,0.011557746,0.239642814,3.314152241,-0.002442028,0.008728016
6.25,-302.3718155,-2083.464513,0.013405664,31.909729,0.012496795,0.240489915,3.325419426,0.02468521,0.075868905
6.3,-302.3441017,-2085.064001,0.013550447,32.07452774,0.011475762,0.241416186,3.296300173,-0.000108747,-0.021563513
6.35,-302.3162187,-2086.671764,0.013389363,32.24006653,0.011339425,0.241575256,3.310432434,0.005562389,0.041846137
6.4,-302.2881583,-2088.287744,0.013503128,32.40408325,0.012265348,0.244712591,3.280620575,0.027243821,0.030888494
6.45,-302.2599268,-2089.911954,0.013397315,32.56848907,0.011606592,0.243664265,3.287837267,0.000333025,0.012800473
6.5,-302.231541,-2091.54434,0.013450653,32.73192978,0.011465119,0.24618271,3.26900053,0.003862593,0.02419588
6.55,-302.2029871,-2093.184908,0.013385573,32.89531708,0.012016944,0.246987253,3.267564535,0.017186612,0.039567523
6.6,-302.174274,-2094.833614,0.013426085,33.05786896,0.011596911,0.248030782,3.251108408,0.002030253,0.006348369
6.65,-302.1454054,-2096.490454,0.013364034,33.22042084,0.011437466,0.249038532,3.25097084,-1.15E-06,0.034595925
6.7,-302.1163815,-2098.15539,0.013397205,33.3821373,0.011961217,0.250702024,3.234382153,0.012154813,0.022629671
6.75,-302.0872083,-2099.828416,0.013350812,33.54370499,0.01171003,0.251173824,3.231260538,0.000191491,0.021860829
6.8,-302.0578939,-2101.509496,0.013364349,33.70464706,0.011561396,0.25282377,3.218893766,-0.000444709,0.02420179
6.85,-302.0284308,-2103.19862,0.013333142,33.8652916,0.011868208,0.253774345,3.212853909,0.007552768,0.028001415
6.9,-301.9988226,-2104.895756,0.013339297,34.02533722,0.011735915,0.254939884,3.200959921,0.001277497,0.018373393
